lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2021-03-01,cpi_gold_v1,CPI,2021-03-01,2021-04-14,first_gold_session_on_or_after_release_timestamp,1734.900024,2021-04-14T08:30:00,264.961,263.579,0.524321,inflation_pressure_up,1765.400024,1.758026,UP,1792.300049,3.308549,UP,1822.599976,5.055044,UP,20,"After CPI changed by 0.524321% on 2021-03-01, gold moved 5.055044% over 20 trading days (UP)."
CPI_GOLD_2021-04-01,cpi_gold_v1,CPI,2021-04-01,2021-05-12,first_gold_session_on_or_after_release_timestamp,1822.599976,2021-05-12T08:30:00,266.614,264.961,0.623865,inflation_pressure_up,1823.800049,0.065844,FLAT,1881.300049,3.220678,UP,1894.199951,3.928453,UP,20,"After CPI changed by 0.623865% on 2021-04-01, gold moved 3.928453% over 20 trading days (UP)."
CPI_GOLD_2021-05-01,cpi_gold_v1,CPI,2021-05-01,2021-06-09,first_gold_session_on_or_after_release_timestamp,1893.199951,2021-06-09T08:30:00,268.383,266.614,0.663506,inflation_pressure_up,1894.199951,0.052821,FLAT,1859.5,-1.780052,DOWN,1799.599976,-4.944009,DOWN,20,"After CPI changed by 0.663506% on 2021-05-01, gold moved -4.944009% over 20 trading days (DOWN)."
CPI_GOLD_2021-06-01,cpi_gold_v1,CPI,2021-06-01,2021-07-14,first_gold_session_on_or_after_release_timestamp,1824.300049,2021-07-14T08:30:00,270.654,268.383,0.846179,inflation_pressure_up,1828.400024,0.224742,UP,1802.900024,-1.173054,DOWN,1750.400024,-4.05087,DOWN,20,"After CPI changed by 0.846179% on 2021-06-01, gold moved -4.05087% over 20 trading days (DOWN)."
CPI_GOLD_2021-07-01,cpi_gold_v1,CPI,2021-07-01,2021-08-11,first_gold_session_on_or_after_release_timestamp,1750.400024,2021-08-11T08:30:00,271.903,270.654,0.461475,inflation_pressure_up,1749.0,-0.079983,FLAT,1781.599976,1.782447,UP,1797.400024,2.685101,UP,20,"After CPI changed by 0.461475% on 2021-07-01, gold moved 2.685101% over 20 trading days (UP)."
CPI_GOLD_2021-08-01,cpi_gold_v1,CPI,2021-08-01,2021-09-08,first_gold_session_on_or_after_release_timestamp,1790.699951,2021-09-08T08:30:00,272.676,271.903,0.284293,inflation_pressure_up,1797.400024,0.374159,UP,1792.400024,0.094939,FLAT,1760.5,-1.686489,DOWN,20,"After CPI changed by 0.284293% on 2021-08-01, gold moved -1.686489% over 20 trading days (DOWN)."
CPI_GOLD_2021-09-01,cpi_gold_v1,CPI,2021-09-01,2021-10-13,first_gold_session_on_or_after_release_timestamp,1793.699951,2021-10-13T08:30:00,273.91,272.676,0.452552,inflation_pressure_up,1796.699951,0.167252,UP,1784.099976,-0.535205,DOWN,1847.599976,3.004963,UP,20,"After CPI changed by 0.452552% on 2021-09-01, gold moved 3.004963% over 20 trading days (UP)."
CPI_GOLD_2021-10-01,cpi_gold_v1,CPI,2021-10-01,2021-11-10,first_gold_session_on_or_after_release_timestamp,1847.599976,2021-11-10T08:30:00,276.55,273.91,0.96382,inflation_pressure_up,1863.199951,0.844337,UP,1869.699951,1.196145,UP,1774.599976,-3.951072,DOWN,20,"After CPI changed by 0.96382% on 2021-10-01, gold moved -3.951072% over 20 trading days (DOWN)."
CPI_GOLD_2021-11-01,cpi_gold_v1,CPI,2021-11-01,2021-12-08,first_gold_session_on_or_after_release_timestamp,1783.400024,2021-12-08T08:30:00,278.919,276.55,0.856626,inflation_pressure_up,1774.599976,-0.493442,DOWN,1762.599976,-1.166314,DOWN,1788.699951,0.297181,UP,5,"After CPI changed by 0.856626% on 2021-11-01, gold moved -1.166314% over 5 trading days (DOWN)."
CPI_GOLD_2021-12-01,cpi_gold_v1,CPI,2021-12-01,2022-01-12,first_gold_session_on_or_after_release_timestamp,1827.199951,2022-01-12T08:30:00,280.845,278.919,0.690523,inflation_pressure_up,1821.199951,-0.328371,DOWN,1842.5,0.837349,UP,1836.199951,0.492557,UP,5,"After CPI changed by 0.690523% on 2021-12-01, gold moved 0.837349% over 5 trading days (UP)."
